Game ID,Date,Home Team,Away Team,Outcome,home_points-per-game,home_true-shooting-percentage,home_offensive-rebounds-per-game,home_defensive-rebounds-per-game,home_steals-per-game,home_assist--per--turnover-ratio,home_personal-fouls-per-game,home_win-pct-all-games,away_points-per-game,away_true-shooting-percentage,away_offensive-rebounds-per-game,away_defensive-rebounds-per-game,away_steals-per-game,away_assist--per--turnover-ratio,away_personal-fouls-per-game,away_win-pct-all-games
87,10/30/22,Los Angeles Clippers,New Orleans Pelicans,0,102.6,111.6,8.2,38.2,7.2,1.111,19.6,0.400,119.8,116.6,12.6,31.0,8.6,1.811,19.8,0.600
88,10/30/22,Boston Celtics,Washington Wizards,1,117.6,121.3,8.8,30.2,6.2,1.725,23.8,0.600,112.0,117.1,8.0,34.2,6.8,1.557,21.8,0.600
89,10/30/22,Cleveland Cavaliers,New York Knicks,1,117.0,118.2,10.2,33.6,6.0,1.566,21.6,0.800,119.8,110.2,14.4,36.4,5.8,1.881,23.8,0.600
90,10/30/22,Detroit Pistons,Golden State Warriors,1,109.7,105.2,12.8,31.5,5.7,1.700,22.5,0.167,119.5,115.5,10.0,33.2,7.8,1.835,23.2,0.500
91,10/30/22,San Antonio Spurs,Minnesota Timberwolves,1,119.8,115.6,11.5,31.3,7.7,1.990,19.5,0.667,118.0,113.9,11.8,37.8,8.2,1.707,19.7,0.667
92,10/30/22,Dallas Mavericks,Orlando Magic,1,118.6,118.5,10.0,33.0,7.4,1.370,23.0,0.400,105.7,108.9,10.0,35.3,6.5,1.352,23.5,0.167
93,10/30/22,Phoenix Suns,Houston Rockets,1,117.6,115.8,11.6,33.4,7.6,2.191,22.6,0.800,110.0,104.7,14.5,32.3,6.8,1.271,22.0,0.167
94,10/30/22,Los Angeles Lakers,Denver Nuggets,1,102.2,99.6,9.2,36.4,10.0,1.444,20.6,0.000,114.8,116.8,11.2,34.2,7.2,1.822,21.5,0.667
95,10/31/22,Charlotte Hornets,Sacramento Kings,0,118.5,111.1,12.2,35.2,6.2,2.024,20.7,0.500,114.2,117.4,8.2,34.6,5.8,1.756,24.8,0.200
96,10/31/22,Washington Wizards,Philadelphia 76ers,0,109.0,112.0,9.2,34.5,6.5,1.629,21.5,0.500,109.3,119.5,6.9,31.7,7.6,1.824,18.3,0.429
